,home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Date,Score,Referee,Host,Year,home_goal,away_goal,home_penalty_goal,away_penalty_goal
0,Spain,England,1,0,Jorge Vilda,Sarina Wiegman,75784,"Accor Stadium, Sydney",Final,2023-08-20,1–0,Tori Penso,"Australia, New Zealand",2023,Olga Carmona · 29’,,,
1,Sweden,Australia,2,0,Peter Gerhardsson,Tony Gustavsson,49461,"Suncorp Stadium, Brisbane",Third-place match,2023-08-19,2–0,,"Australia, New Zealand",2023,Kosovare Asllani · 62’,,Fridolina Rolfö (P) · 30’,
2,Australia,England,1,3,Tony Gustavsson,Sarina Wiegman,75784,"Accor Stadium, Sydney",Semi-finals,2023-08-16,1–3,Tori Penso,"Australia, New Zealand",2023,Sam Kerr · 63’,Ella Toone · 36’|Lauren Hemp · 71’|Alessia Russo · 86’,,
3,Spain,Sweden,2,1,Jorge Vilda,Peter Gerhardsson,43217,"Eden Park, Auckland",Semi-finals,2023-08-15,2–1,Edina Alves Batista,"Australia, New Zealand",2023,Salma Paralluelo · 81’|Olga Carmona · 89’,Rebecka Blomqvist · 88’,,
4,Australia,France,0,0,Tony Gustavsson,Hervé Renard,49461,"Suncorp Stadium, Brisbane",Quarter-finals,2023-08-12,(7) 0–0 (6),María Carvajal,"Australia, New Zealand",2023,,,,
5,England,Colombia,2,1,Sarina Wiegman,Nelson Abadía,75784,"Accor Stadium, Sydney",Quarter-finals,2023-08-12,2–1,Katja Koroleva,"Australia, New Zealand",2023,Lauren Hemp · 45+6’|Alessia Russo · 63’,Leicy Santos · 44’,,
6,Spain,Netherlands,2,1,Jorge Vilda,Andries Jonker,32021,"Sky Stadium, Wellington",Quarter-finals,2023-08-11,2–1,Stéphanie Frappart,"Australia, New Zealand",2023,Salma Paralluelo · 111’,Stefanie van der Gragt · 90+1’,Mariona Caldentey (P) · 81’,
7,Japan,Sweden,1,2,Futoshi Ikeda,Peter Gerhardsson,43217,"Eden Park, Auckland",Quarter-finals,2023-08-11,1–2,Esther Staubli,"Australia, New Zealand",2023,Honoka Hayashi · 87’,Amanda Ilestedt · 32’,,Filippa Angeldahl (P) · 51’
8,Colombia,Jamaica,1,0,Nelson Abadía,Lorne Donaldson,27706,"AAMI Park, Melbourne",Round of 16,2023-08-08,1–0,Kate Jacewicz,"Australia, New Zealand",2023,Catalina Usme · 51’,,,
9,France,Morocco,4,0,Hervé Renard,Reynald Pedros,13557,"Coopers Stadium, Adelaide",Round of 16,2023-08-08,4–0,Tori Penso,"Australia, New Zealand",2023,Kadidiatou Diani · 15’|Kenza Dali · 20’|Eugénie Le Sommer · 23’|Eugénie Le Sommer · 70’,,,
10,England,Nigeria,0,0,Sarina Wiegman,Randy Waldrum,49461,"Suncorp Stadium, Brisbane",Round of 16,2023-08-07,(4) 0–0 (2),Melissa Borjas Pastrana,"Australia, New Zealand",2023,,,,
11,Australia,Denmark,2,0,Tony Gustavsson,Lars Søndergaard,75784,"Accor Stadium, Sydney",Round of 16,2023-08-07,2–0,Rebecca Welch,"Australia, New Zealand",2023,Caitlin Foord · 29’|Hayley Raso · 70’,,,
12,Netherlands,South Africa,2,0,Andries Jonker,Desiree Ellis,40233,"Allianz Stadium, Sydney",Round of 16,2023-08-06,2–0,Yoshimi Yamashita,"Australia, New Zealand",2023,Jill Roord · 9’|Lineth Beerensteyn · 68’,,,
13,Sweden,United States,0,0,Peter Gerhardsson,Vlatko Andonovski,27706,"AAMI Park, Melbourne",Round of 16,2023-08-06,(5) 0–0 (4),Stéphanie Frappart,"Australia, New Zealand",2023,,,,
14,Switzerland,Spain,1,5,Inka Grings,Jorge Vilda,43217,"Eden Park, Auckland",Round of 16,2023-08-05,1–5,Cheryl Foster,"Australia, New Zealand",2023,,Aitana Bonmatí · 5’|Alba Redondo · 17’|Aitana Bonmatí · 36’|Laia Codina · 45’|Jennifer Hermoso · 70’,,
15,Japan,Norway,3,1,Futoshi Ikeda,Hege Riise,33042,"Sky Stadium, Wellington",Round of 16,2023-08-05,3–1,Edina Alves Batista,"Australia, New Zealand",2023,Risa Shimizu · 50’|Hinata Miyazawa · 81’,Guro Reiten · 20’,,
16,Morocco,Colombia,1,0,Reynald Pedros,Nelson Abadía,17342,"HBF Park, Perth",Group stage,2023-08-03,1–0,Maria Sole Ferrieri Caputi,"Australia, New Zealand",2023,Anissa Lahmari · 45+4’,,,
17,Korea Republic,Germany,1,1,Colin Bell,Martina Voss-Tecklenburg,38945,"Suncorp Stadium, Brisbane",Group stage,2023-08-03,1–1,Anna-Marie Keighley,"Australia, New Zealand",2023,Cho So-hyun · 6’,Alexandra Popp · 42’,,
18,South Africa,Italy,3,2,Desiree Ellis,Milena Bertolini,14967,"Sky Stadium, Wellington",Group stage,2023-08-02,3–2,María Carvajal,"Australia, New Zealand",2023,Hildah Magaia · 67’|Thembi Kgatlana · 90+2’,Arianna Caruso · 74’,,Arianna Caruso (P) · 11’
19,Argentina,Sweden,0,2,Germán Portanova,Peter Gerhardsson,17907,"FMG Stadium Waikato, Hamilton",Group stage,2023-08-02,0–2,Salima Mukansanga,"Australia, New Zealand",2023,,Rebecka Blomqvist · 66’,,Elin Rubensson (P) · 90’
20,Jamaica,Brazil,0,0,Lorne Donaldson,Pia Sundhage,27638,"AAMI Park, Melbourne",Group stage,2023-08-02,0–0,Esther Staubli,"Australia, New Zealand",2023,,,,
21,Panama,France,3,6,Nacho Quintana,Hervé Renard,40498,"Allianz Stadium, Sydney",Group stage,2023-08-02,3–6,Laura Fortunato,"Australia, New Zealand",2023,Marta Cox · 2’|Lineth Cedeño · 87’,Maëlle Lakrar · 21’|Kadidiatou Diani · 28’|Léa Le Garrec · 45+5’|Vicki Bècho · 90+10’,Yomira Pinzón (P) · 64’,Kadidiatou Diani (P) · 37’|Kadidiatou Diani (P) · 52’
22,Vietnam,Netherlands,0,7,Mai Đức Chung,Andries Jonker,8215,"Forsyth Barr Stadium, Dunedin",Group stage,2023-08-01,0–7,Ivana Martinčić,"Australia, New Zealand",2023,,Lieke Martens · 8’|Katja Snoeijs · 11’|Esmee Brugts · 18’|Jill Roord · 23’|Daniëlle van de Donk · 45’|Esmee Brugts · 57’|Jill Roord · 83’,,
23,Portugal,United States,0,0,Francisco Neto,Vlatko Andonovski,40958,"Eden Park, Auckland",Group stage,2023-08-01,0–0,Rebecca Welch,"Australia, New Zealand",2023,,,,
24,Haiti,Denmark,0,2,Nicolas Delépine,Lars Søndergaard,17897,"HBF Park, Perth",Group stage,2023-08-01,0–2,Oh Hyeonjeong,"Australia, New Zealand",2023,,Sanne Troelsgaard Nielsen · 90+10’,,Pernille Harder (P) · 21’
25,China PR,England,1,6,Shui Qingxia,Sarina Wiegman,13497,"Coopers Stadium, Adelaide",Group stage,2023-08-01,1–6,Casey Reibelt,"Australia, New Zealand",2023,,Alessia Russo · 4’|Lauren Hemp · 26’|Lauren James · 41’|Lauren James · 65’|Chloe Kelly · 77’|Rachel Daly · 84’,Wang Shuang (P) · 57’,
26,Japan,Spain,4,0,Futoshi Ikeda,Jorge Vilda,20957,"Sky Stadium, Wellington",Group stage,2023-07-31,4–0,Katja Koroleva,"Australia, New Zealand",2023,Hinata Miyazawa · 12’|Riko Ueki · 29’|Hinata Miyazawa · 40’|Mina Tanaka · 82’,,,
27,Costa Rica,Zambia,1,3,Amelia Valverde,Bruce Mwape,8117,"FMG Stadium Waikato, Hamilton",Group stage,2023-07-31,1–3,Bouchra Karboubi,"Australia, New Zealand",2023,Melissa Herrera · 47’,Lushomo Mweemba · 3’|Racheal Kundananji · 90+3’,,Barbra Banda (P) · 31’
28,Republic of Ireland,Nigeria,0,0,Vera Pauw,Randy Waldrum,24884,"Suncorp Stadium, Brisbane",Group stage,2023-07-31,0–0,Katia García,"Australia, New Zealand",2023,,,,
29,Canada,Australia,0,4,Bev Priestman,Tony Gustavsson,27706,"AAMI Park, Melbourne",Group stage,2023-07-31,0–4,Stéphanie Frappart,"Australia, New Zealand",2023,,Hayley Raso · 9’|Hayley Raso · 39’|Mary Fowler · 58’,,Steph Catley (P) · 90+4’
30,Korea Republic,Morocco,0,1,Colin Bell,Reynald Pedros,12886,"Coopers Stadium, Adelaide",Group stage,2023-07-30,0–1,Edina Alves Batista,"Australia, New Zealand",2023,,Ibtissam Jraïdi · 6’,,
31,Switzerland,New Zealand,0,0,Inka Grings,Jitka Klimková,25947,"Forsyth Barr Stadium, Dunedin",Group stage,2023-07-30,0–0,Tori Penso,"Australia, New Zealand",2023,,,,
32,Norway,Philippines,6,0,Hege Riise,Alen Stajcic,34697,"Eden Park, Auckland",Group stage,2023-07-30,6–0,Marie-Soleil Beaudoin,"Australia, New Zealand",2023,Sophie Román Haug · 6’|Sophie Román Haug · 17’|Caroline Graham Hansen · 31’|Sophie Román Haug · 90+5’,,Guro Reiten (P) · 53’,
33,Germany,Colombia,1,2,Martina Voss-Tecklenburg,Nelson Abadía,40499,"Allianz Stadium, Sydney",Group stage,2023-07-30,1–2,Melissa Borjas Pastrana,"Australia, New Zealand",2023,,Linda Caicedo · 52’|Manuela Vanegas · 90+7’,Alexandra Popp (P) · 89’,
34,Sweden,Italy,5,0,Peter Gerhardsson,Milena Bertolini,29143,"Sky Stadium, Wellington",Group stage,2023-07-29,5–0,Cheryl Foster,"Australia, New Zealand",2023,Amanda Ilestedt · 39’|Fridolina Rolfö · 44’|Stina Blackstenius · 45+1’|Amanda Ilestedt · 50’|Rebecka Blomqvist · 90+5’,,,
35,France,Brazil,2,1,Hervé Renard,Pia Sundhage,49378,"Suncorp Stadium, Brisbane",Group stage,2023-07-29,2–1,Kate Jacewicz,"Australia, New Zealand",2023,Eugénie Le Sommer · 17’|Wendie Renard · 83’,Debinha · 58’,,
36,Panama,Jamaica,0,1,Nacho Quintana,Lorne Donaldson,15987,"HBF Park, Perth",Group stage,2023-07-29,0–1,Kateryna Monzul,"Australia, New Zealand",2023,,Allyson Swaby · 56’,,
37,Argentina,South Africa,2,2,Germán Portanova,Desiree Ellis,8834,"Forsyth Barr Stadium, Dunedin",Group stage,2023-07-28,2–2,Anna-Marie Keighley,"Australia, New Zealand",2023,Sophia Braun · 74’|Romina Núñez · 79’,Linda Motlhalo · 30’|Thembi Kgatlana · 66’,,
38,England,Denmark,1,0,Sarina Wiegman,Lars Søndergaard,40439,"Allianz Stadium, Sydney",Group stage,2023-07-28,1–0,Tess Olofsson,"Australia, New Zealand",2023,Lauren James · 6’,,,
39,China PR,Haiti,1,0,Shui Qingxia,Nicolas Delépine,12675,"Coopers Stadium, Adelaide",Group stage,2023-07-28,1–0,Marta Huerta,"Australia, New Zealand",2023,,,Wang Shuang (P) · 74’,
40,United States,Netherlands,1,1,Vlatko Andonovski,Andries Jonker,27312,"Sky Stadium, Wellington",Group stage,2023-07-27,1–1,Yoshimi Yamashita,"Australia, New Zealand",2023,Lindsey Horan · 62’,Jill Roord · 17’,,
41,Portugal,Vietnam,2,0,Francisco Neto,Mai Đức Chung,6645,"FMG Stadium Waikato, Hamilton",Group stage,2023-07-27,2–0,Salima Mukansanga,"Australia, New Zealand",2023,Telma Encarnação · 7’|Kika Nazareth · 21’,,,
42,Australia,Nigeria,2,3,Tony Gustavsson,Randy Waldrum,49156,"Suncorp Stadium, Brisbane",Group stage,2023-07-27,2–3,Esther Staubli,"Australia, New Zealand",2023,Emily van Egmond · 45+1’|Alanna Kennedy · 90+10’,Uchenna Kanu · 45+6’|Osinachi Ohale · 65’|Asisat Oshoala · 72’,,
43,Japan,Costa Rica,2,0,Futoshi Ikeda,Amelia Valverde,6992,"Forsyth Barr Stadium, Dunedin",Group stage,2023-07-26,2–0,Maria Sole Ferrieri Caputi,"Australia, New Zealand",2023,Hikaru Naomoto · 25’|Aoba Fujino · 27’,,,
44,Spain,Zambia,5,0,Jorge Vilda,Bruce Mwape,20983,"Eden Park, Auckland",Group stage,2023-07-26,5–0,Oh Hyeonjeong,"Australia, New Zealand",2023,Teresa Abelleira · 9’|Jennifer Hermoso · 13’|Alba Redondo · 69’|Jennifer Hermoso · 70’|Alba Redondo · 85’,,,
45,Canada,Republic of Ireland,2,1,Bev Priestman,Vera Pauw,17065,"HBF Park, Perth",Group stage,2023-07-26,2–1,Laura Fortunato,"Australia, New Zealand",2023,Adriana Leon · 53’,Katie McCabe · 4’,,
46,Colombia,Korea Republic,2,0,Nelson Abadía,Colin Bell,24323,"Allianz Stadium, Sydney",Group stage,2023-07-25,2–0,Rebecca Welch,"Australia, New Zealand",2023,Linda Caicedo · 39’,,Catalina Usme (P) · 30’,
47,New Zealand,Philippines,0,1,Jitka Klimková,Alen Stajcic,32357,"Sky Stadium, Wellington",Group stage,2023-07-25,0–1,Katia García,"Australia, New Zealand",2023,,Sarina Bolden · 24’,,
48,Switzerland,Norway,0,0,Inka Grings,Hege Riise,10769,"FMG Stadium Waikato, Hamilton",Group stage,2023-07-25,0–0,Stéphanie Frappart,"Australia, New Zealand",2023,,,,
49,Italy,Argentina,1,0,Milena Bertolini,Germán Portanova,30889,"Eden Park, Auckland",Group stage,2023-07-24,1–0,Melissa Borjas Pastrana,"Australia, New Zealand",2023,Cristiana Girelli · 87’,,,
50,Germany,Morocco,6,0,Martina Voss-Tecklenburg,Reynald Pedros,27256,"AAMI Park, Melbourne",Group stage,2023-07-24,6–0,Tori Penso,"Australia, New Zealand",2023,Alexandra Popp · 11’|Alexandra Popp · 39’|Klara Bühl · 46’|Lea Schüller · 90’,,,
51,Brazil,Panama,4,0,Pia Sundhage,Nacho Quintana,13142,"Coopers Stadium, Adelaide",Group stage,2023-07-24,4–0,Cheryl Foster,"Australia, New Zealand",2023,Ary Borges · 19’|Ary Borges · 39’|Beatriz · 48’|Ary Borges · 70’,,,
52,Sweden,South Africa,2,1,Peter Gerhardsson,Desiree Ellis,18317,"Sky Stadium, Wellington",Group stage,2023-07-23,2–1,Katja Koroleva,"Australia, New Zealand",2023,Fridolina Rolfö · 65’|Amanda Ilestedt · 90’,Hildah Magaia · 48’,,
53,Netherlands,Portugal,1,0,Andries Jonker,Francisco Neto,11991,"Forsyth Barr Stadium, Dunedin",Group stage,2023-07-23,1–0,Kateryna Monzul,"Australia, New Zealand",2023,Stefanie van der Gragt · 13’,,,
54,France,Jamaica,0,0,Hervé Renard,Lorne Donaldson,39045,"Allianz Stadium, Sydney",Group stage,2023-07-23,0–0,María Carvajal,"Australia, New Zealand",2023,,,,
55,United States,Vietnam,3,0,Vlatko Andonovski,Mai Đức Chung,41107,"Eden Park, Auckland",Group stage,2023-07-22,3–0,Bouchra Karboubi,"Australia, New Zealand",2023,Sophia Smith · 14’|Sophia Smith · 45+7’|Lindsey Horan · 77’,,,
56,Zambia,Japan,0,5,Bruce Mwape,Futoshi Ikeda,16111,"FMG Stadium Waikato, Hamilton",Group stage,2023-07-22,0–5,Tess Olofsson,"Australia, New Zealand",2023,,Hinata Miyazawa · 43’|Mina Tanaka · 55’|Hinata Miyazawa · 62’|Jun Endō · 71’,,Riko Ueki (P) · 90+11’
57,England,Haiti,1,0,Sarina Wiegman,Nicolas Delépine,44369,"Suncorp Stadium, Brisbane",Group stage,2023-07-22,1–0,Emikar Calderas,"Australia, New Zealand",2023,,,Georgia Stanway (P) · 29’,
58,Denmark,China PR,1,0,Lars Søndergaard,Shui Qingxia,16989,"HBF Park, Perth",Group stage,2023-07-22,1–0,Marie-Soleil Beaudoin,"Australia, New Zealand",2023,Amalie Vangsgaard · 89’,,,
59,Nigeria,Canada,0,0,Randy Waldrum,Bev Priestman,21410,"AAMI Park, Melbourne",Group stage,2023-07-21,0–0,Lina Lehtovaara,"Australia, New Zealand",2023,,,,
60,Philippines,Switzerland,0,2,Alen Stajcic,Inka Grings,13711,"Forsyth Barr Stadium, Dunedin",Group stage,2023-07-21,0–2,Vincentia Amedome,"Australia, New Zealand",2023,,Seraina Piubel · 64’,,Ramona Bachmann (P) · 45’
61,Spain,Costa Rica,3,0,Jorge Vilda,Amelia Valverde,22966,"Sky Stadium, Wellington",Group stage,2023-07-21,3–0,Casey Reibelt,"Australia, New Zealand",2023,Aitana Bonmatí · 23’|Esther González · 27’,,,
62,New Zealand,Norway,1,0,Jitka Klimková,Hege Riise,42137,"Eden Park, Auckland",Group stage,2023-07-20,1–0,Yoshimi Yamashita,"Australia, New Zealand",2023,Hannah Wilkinson · 48’,,,
63,Australia,Republic of Ireland,1,0,Tony Gustavsson,Vera Pauw,75784,"Accor Stadium, Sydney",Group stage,2023-07-20,1–0,Edina Alves Batista,"Australia, New Zealand",2023,,,Steph Catley (P) · 52’,
64,United States,Netherlands,2,0,Jill Ellis,Sarina Wiegman,57900,"Groupama Stadium, Décines-Charpieu",Final,2019-07-07,2–0,Stéphanie Frappart,France,2019,Rose Lavelle · 69’,,Megan Rapinoe (P) · 61’,
65,England,Sweden,1,2,Phil Neville,Peter Gerhardsson,20316,"Stade de Nice, Nice",Third-place match,2019-07-06,1–2,Anastasia Pustovoitova,France,2019,Fran Kirby · 31’,Kosovare Asllani · 11’|Sofia Jakobsson · 22’,,
66,Netherlands,Sweden,1,0,Sarina Wiegman,Peter Gerhardsson,48452,"Groupama Stadium, Décines-Charpieu",Semi-finals,2019-07-03,1–0,Marie-Soleil Beaudoin,France,2019,Jackie Groenen · 99’,,,
67,England,United States,1,2,Phil Neville,Jill Ellis,53512,"Groupama Stadium, Décines-Charpieu",Semi-finals,2019-07-02,1–2,,France,2019,Ellen White · 19’,Christen Press · 10’|Alex Morgan · 31’,,
68,Italy,Netherlands,0,2,Milena Bertolini,Sarina Wiegman,22600,"Stade du Hainaut, Valenciennes",Quarter-finals,2019-06-29,0–2,Claudia Umpiérrez,France,2019,,Vivianne Miedema · 70’|Stefanie van der Gragt · 80’,,
69,Germany,Sweden,1,2,Martina Voss-Tecklenburg,Peter Gerhardsson,25301,"Roazhon Park, Rennes",Quarter-finals,2019-06-29,1–2,Stéphanie Frappart,France,2019,Lina Magull · 16’,Sofia Jakobsson · 22’|Stina Blackstenius · 48’,,
70,France,United States,1,2,Corinne Diacre,Jill Ellis,45595,"Parc des Princes, Paris",Quarter-finals,2019-06-28,1–2,Kateryna Monzul,France,2019,Wendie Renard · 81’,Megan Rapinoe · 5’|Megan Rapinoe · 65’,,
71,Norway,England,0,3,Martin Sjögren,Phil Neville,21111,"Stade Océane, Le Havre",Quarter-finals,2019-06-27,0–3,Lucila Venegas,France,2019,,Jill Scott · 3’|Ellen White · 40’|Lucy Bronze · 57’,,
72,Italy,China PR,2,0,Milena Bertolini,Jia Xiuquan,17492,"Stade de la Mosson, Montpellier",Round of 16,2019-06-25,2–0,Edina Alves Batista,France,2019,Valentina Giacinti · 15’|Aurora Galli · 49’,,,
73,Netherlands,Japan,2,1,Sarina Wiegman,Asako Takemoto,21076,"Roazhon Park, Rennes",Round of 16,2019-06-25,2–1,Melissa Borjas,France,2019,Lieke Martens · 17’,Yui Hasegawa · 43’,Lieke Martens (P) · 90’,
74,Spain,United States,1,2,Jorge Vilda,Jill Ellis,19633,"Stade Auguste-Delaune II, Reims",Round of 16,2019-06-24,1–2,Katalin Kulcsár,France,2019,Jennifer Hermoso · 9’,,,Megan Rapinoe (P) · 7’|Megan Rapinoe (P) · 76’
75,Sweden,Canada,1,0,Peter Gerhardsson,Kenneth Heiner-Møller,38078,"Parc des Princes, Paris",Round of 16,2019-06-24,1–0,Kate Jacewicz,France,2019,Stina Blackstenius · 55’,,,
76,England,Cameroon,3,0,Phil Neville,Alain Djeumfa,20148,"Stade du Hainaut, Valenciennes",Round of 16,2019-06-23,3–0,Qin Liang,France,2019,Steph Houghton · 14’|Ellen White · 45+4’|Alex Greenwood · 58’,,,
77,France,Brazil,2,1,Corinne Diacre,Vadão,0,"Stade Océane, Le Havre",Round of 16,2019-06-23,2–1,Marie-Soleil Beaudoin,France,2019,Valérie Gauvin · 52’|Amandine Henry · 106’,Thaisa · 63’,,
78,Germany,Nigeria,3,0,Martina Voss-Tecklenburg,Thomas Dennerby,17988,"Stade des Alpes, Grenoble",Round of 16,2019-06-22,3–0,Yoshimi Yamashita,France,2019,Alexandra Popp · 20’|Lea Schüller · 82’,,Sara Däbritz (P) · 27’,
79,Norway,Australia,1,1,Martin Sjögren,Ante Milicic,0,"Stade de Nice, Nice",Round of 16,2019-06-22,(4) 1–1 (1),Riem Hussein,France,2019,Isabell Herlovsen · 31’,Elise Kellond-Knight · 83’,,
80,Netherlands,Canada,2,1,Sarina Wiegman,Kenneth Heiner-Møller,19277,"Stade Auguste-Delaune II, Reims",Group stage,2019-06-20,2–1,Stéphanie Frappart,France,2019,Anouk Dekker · 54’|Lineth Beerensteyn · 75’,Christine Sinclair · 60’,,
